Source Row Number,PDF Name,URL,Control Axes Status,Our Axes Status,Axes Match,Control PDF/UA,Our PDF/UA,PDF/UA Match,Control WCAG,Our WCAG,WCAG Match,Final URL,Retrieval Category,Overall Result,Failure Summary,Control PDF/UA Notes,Our PDF/UA Notes,Control WCAG Notes,Our WCAG Notes,Adobe Acrobat Audit Status
13,Standard Price List Effective From 3 June 2024,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/standard-price-list-effective-from-3-june-2024.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","3 fonts not embedded
20,426 content items not tagged
1 structure tree warning
1 metadata field missing
",The source PDF could not be retrieved for accessibility testing.,"20,429 content items not properly tagged (1.3 Adaptable)
1 navigation failure — missing bookmarks or document title (2.4 Navigable)
1 compatibility warning — link or form field naming issue (4.1 Compatible)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
14,Business Banking Price List,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-banking-price-list.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,37 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
15,Mandate Continuation Sheet For Additional Accounts,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-continuation-sheet-for-additional-accounts.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
16,Signatories Of A Corporate Partner Trustee Executor Administrator Signatory,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/signatories-of-a-corporate-partner-trustee-executor-administrator-signatory.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
17,Mandate Continuation Sheet For Specific Signing Rules,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-continuation-sheet-for-specific-signing-rules.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
18,Presentation Export Doc Cover,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/presentation-export-doc-cover.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
19,Hsbc Global Wallet Factsheet June 2024,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-global-wallet-factsheet-june-2024.pdf?download=1,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
20,Mandate For Trustees Or For Executors And Administrators Of A Deceased Persons Estate,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/mandate-for-trustees-or-for-executors-and-administrators-of-a-deceased-persons-estate.pdf,Complete,Blocked,False,Partial,,False,Partial,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Structure Tree, 24 errors",The source PDF could not be retrieved for accessibility testing.,"4.1 Compatible, 24 errors",The source PDF resolved to a not-found or non-PDF destination.,Not Started
21,Go Greener Sme Reward,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/go-greener-sme-reward.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
22,Faster Payments Factsheet For Commercial Banking,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/faster-payments-factsheet-for-commercial-banking.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","10 content items not properly tagged
8 structure elements using incorrect tag types
8 alternative description warnings (alt text may be missing or questionable)",The source PDF could not be retrieved for accessibility testing.,"8 alt text warnings (1.1 Text Alternatives)
10 structure/tagging failures (1.3 Adaptable)
8 compatibility failures — links or form fields with incorrect names/roles (4.1 Compatible)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
23,Global Funds Transfer,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/global-funds-transfer.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","1 font not embedded
7 natural language failures (document or content language not set)
1 metadata field missing
2 document settings failures",The source PDF could not be retrieved for accessibility testing.,"1 structure/tagging failure (1.3 Adaptable)
2 navigation failures — missing bookmarks or document title (2.4 Navigable)
7 language failures — document or content language not set (3.1 Readable)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
24,Privacy Notice For Uk Customers,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/privacy-notice-for-uk-customers.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,134 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
25,Business Plan Template.Docx,https://www.business.hsbc.uk/-/media/media/uk/pdfs/business-plan-template.docx,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","46 structure elements using incorrect tag types
38 structure tree warnings
3 metadata failures
1 document settings failure",The source PDF could not be retrieved for accessibility testing.,"43 structure/tagging failures (1.3 Adaptable)
3 navigation failures (2.4 Navigable)
56 language failures (3.1 Readable)
1 compatibility failure + 38 warnings (4.1 Compatible)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
26,Third Party Mandate Business,https://www.business.hsbc.uk/-/media/media/uk/pdfs/common/third-party-mandate-business.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
27,Hsbc Corporate Card Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-corporate-card-factsheet.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
28,Client Account Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/client-account-additional-conditions.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,36 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
29,Hsbc Uk Forward Planning 2025,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-forward-planning-2025.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
30,Business Loan Direct Debit Mandate,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-loan-direct-debit-mandate.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
31,Business Internet Banking Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/regulations/business-internet-banking-additional-conditions.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,5 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
32,Hsbc Uk Womens Business Growth Initiative Report,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-womens-business-growth-initiative-report.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
33,Hsbc Financing For Growth Report,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-financing-for-growth-report.pdf,In Progress,Blocked,False,,,False,,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",File size too large,The source PDF could not be retrieved for accessibility testing.,File size too large,The source PDF resolved to a not-found or non-PDF destination.,Not Started
34,Business Debit Card Factsheet 2,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/business-debit-card-factsheet-2.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
35,Guarantee And Standby Letters Of Credit Wording,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/guarantee-and-standby-letters-of-credit-wording.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
36,Country Groupings,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/country-groupings.pdf,Complete,Blocked,False,Partial,,False,Partial,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","255 structure tree warnings
",The source PDF could not be retrieved for accessibility testing.,255 compatibility warnings (4.1 Compatible),The source PDF resolved to a not-found or non-PDF destination.,Not Started
37,Business Banking Price List,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-banking-price-list.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,37 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
38,Business Deposit Account Additional Conditions,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-deposit-account-additional-conditions.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
39,Sepa Key Facts,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/sepa-key-facts.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
40,Hsb Bacs Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsb-bacs-factsheet.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
41,Commercial Card Agreement Terms,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/commercial-card-agreement-terms.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,3 colour contrast failures (1.4 Distinguishable),The source PDF resolved to a not-found or non-PDF destination.,Not Started
42,Hsbc Commercial Card Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-commercial-card-factsheet.pdf,Complete,Blocked,False,Pass,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,"3 colour contrast failures (1.4 Distinguishable)
",The source PDF resolved to a not-found or non-PDF destination.,Not Started
43,Going Global For Growth Report Latest,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/going-global-for-growth-report-latest.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
44,Doc Lc Application Form,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/doc-lc-application-form.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","6 fonts not embedded
890 content items not properly tagged
109 structure elements using incorrect tag types + 16 warnings
1 structure tree warning
218 alternative descriptions missing
2 metadata failures
4 document settings failures",The source PDF could not be retrieved for accessibility testing.,"
218 missing alt text (1.1 Text Alternatives)
896 structure/tagging failures + 16 warnings (1.3 Adaptable)
100 colour contrast failures (1.4 Distinguishable)
5 navigation failures (2.4 Navigable)
109 compatibility failures + 1 warning (4.1 Compatible)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
45,Hbuk Ftd Additional Conditions,https://www.business.hsbc.uk/-/media/media/uk/pdfs/hbuk-ftd-additional-conditions.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
46,Statement_Reconciliation_Smart_Form_And_Aged_Debt_Report_Guide,https://www.business.hsbc.uk/-/media/media/uk/pdfs/generic/gib-rf-iif/statement_reconciliation_smart_form_and_aged_debt_report_guide.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
47,Hsbc Uk Forward Planning,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/hsbc-uk-forward-planning.pdf,Blocked,Blocked,True,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
48,Customer Documentation Guide 12Dec19,https://www.business.hsbc.uk/-/media/media/uk/pdfs/campaigns/customer-documentation-guide-12dec19.pdf,Complete,Blocked,False,Fail,,False,Fail,Fail,True,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","2 fonts not embedded
54 structure elements using incorrect tag types
58 structure tree warnings
54 alternative descriptions missing + 1 warning
1 metadata failure",The source PDF could not be retrieved for accessibility testing.,"54 missing alt text + 1 warning (1.1 Text Alternatives)
56 structure/tagging failures (1.3 Adaptable)
58 compatibility warnings (4.1 Compatible)",The source PDF resolved to a not-found or non-PDF destination.,Not Started
49,Instant Advice,https://www.business.hsbc.uk/-/media/media/uk/pdfs/solutions/instant-advice.pdf?download=1,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
50,Product Guide Invoice Discounting,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/product-guide-invoice-discounting.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
51,Hsbc Virtual Card Factsheet,https://www.business.hsbc.uk/-/media/media/uk/pdfs/products/hsbc-virtual-card-factsheet.pdf,Complete,Blocked,False,Pass,,False,Pass,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves",The file meets all machine-verifiable PDF/UA requirements.,The source PDF could not be retrieved for accessibility testing.,The file meets all machine-verifiable WCAG requirements (Level A and AA).,The source PDF resolved to a not-found or non-PDF destination.,Not Started
52,Business Loan Direct Debit Mandate,https://www.business.hsbc.uk/-/media/library/business-uk/pdfs/business-loan-direct-debit-mandate.pdf,Blocked,Blocked,True,Partial,,False,Partial,Fail,False,,REQUEST_ERROR,FAIL,"URL is expected file, URL resolves","Basic requirement for accessible PDFs not met!

The PDF does not contain an invisible structural layer in the form of tags and therefore does not meet the requirements for further accessibility testing.
You want us to create an accessible file from your PDF according to PDF/UA and WCAG? Then send your file to our axesService.",The source PDF could not be retrieved for accessibility testing.,,The source PDF resolved to a not-found or non-PDF destination.,Not Started
